ID,Name,Category,Type,Rating,Download Link,Download Size,Download OS
"2519","Bazz Murda","Single_drums","Bass drum generator","4.529","https://plugins4free.com/get_plug/DC_Bazz_Murda_x64.zip","null","Windows x64"
"2548","MS matrix","Mastering/Strip","Mid / Sides processors","null","https://plugins4free.com/get_plug/CANA-MS-matrix.zip","4.3","Windows x86"
"2540","VSCO2 Violin","Piano/Strings","Violin","4.125","https://plugins4free.com/get_plug/VSCO2_Violin_-_64_V2.zip","100.5","Windows x64"
"2589","Bassprofessor","Guitar/Amp","Bass guitar enhancer","4.923","https://plugins4free.com/get_plug/Bassprofessor_x64.zip","0.7","Windows x64"
"2541","Sonatina Orchestra Module","orchestral","Orchestral instruments","4.647","https://plugins4free.com/get_plug/Sonatina_Orchestra_Module_-_64.zip","654.7","Windows x64"
"2593","SLAX","Dynamics","Vintage compressor","4.619","https://plugins4free.com/get_plug/SLAX_x64.zip","null","Windows x64"
"2585","jsComp","Dynamics","Hard-knee compressor","4.5","https://plugins4free.com/get_plug/jsComp.zip","0.5","Windows x86"
"2573","Nocturna","Wavetable","Wavetable FM synth","3","https://plugins4free.com/get_plug/Nocturna.zip","13.7","Windows x86"
"2532","DVS Trance Reverb","null","null","null","https://plugins4free.com/get_plug/dvs-trance-reverb.zip","0.6","Windows x86"
"2591","HBC","Dynamics","Stereo / 5.1 bus compressors","4.25","https://plugins4free.com/get_plug/HBC_x64.zip","null","Windows x64"
"2507","Vocal King","Mastering/Strip","Vocal processor","4.214","https://plugins4free.com/get_plug/Vocal-King-v1-1.zip","4.6","Windows x86"
"2474","TNT","Distortion/OD","Distortion / saturation","null","https://plugins4free.com/get_plug/Ourafilmes-TNT.zip","14.9","Windows x86"
"2477","K200","FM","4 op FM synth","4.778","https://plugins4free.com/get_plug/K200.zip","2.2","Windows x86"
"2503","vRAM Epiano","Keyboards","Wurlitzer electric piano","4.091","https://plugins4free.com/get_plug/vRAM-epiano.zip","6.7","Windows x86"
"2563","VeeWidener","Spatial","Stereoizer / doubler / widener","null","https://plugins4free.com/get_plug/VeeWidener.zip","1.6","Windows x86"
"2543","Brandulator","Modulation","Modulated comb filters","null","https://plugins4free.com/get_plug/Brandulator_x64.zip","6.6","Windows x64"
"2544","Mystique","Tube/Tape","Tape simulator","3.867","https://plugins4free.com/get_plug/CANA-Mystique-Tape-Machine.zip","3.7","Windows x86"
"2487","H-drum","Percussions","Hang Drum","3.222","https://plugins4free.com/get_plug/H-drum.zip","33.5","Windows x86"
