Title,Artist,Year,Genre,BPM,Energy,Dance,Valence,Popularity,WIP,,Tags,Spotify ID
Til There Was You,Beatles,1963,Rock,122,34,73,65,63,WIP,,classic rock;psychedelic rock;oldies;retro;love;dance;acoustic,0ESIjVxnDnCDaTPo6sStHm
Time After Time,Eva Cassidy,1984,Pop,181,15,38,22,56,WIP,,;slow;love;acoustic,7ExSGiqt0W5xu3XoAwjnDm
Time In A Bottle,Jim Croce,1972,Rock,134,27,54,70,1,,,folk rock;singer-songwriter;oldies;retro;slow;acoustic;love,561F1zqRwGPCTMRsLsXVtL
Titanium,Sia,2011,House,118,15,50,15,30,,,;alternative;groovy;dance,1OitCc6VrNZGV5FHF2Mkws
To Be With You,Mr Big,2001,Rock,84,41,69,48,58,,,glam metal;alternative;acoustic;dance;love,3bP47tw8MOgtrwdO1iahVl
Top Of The World,Carpenters,1972,Pop,184,34,38,69,68,,,christmas;adult standards;oldies;retro;dance;love;fast;sweet,1Ehdm1PDlKrdfyBsjwEvd1
Toxic,Britney Spears,2003,Pop,143,84,77,92,83,,,pop;groovy;dance;acoustic;alternative;love;fast,6I9VzXrHxO9rA9A5euc8Ak
Twist And Shout,Beatles,1961,Rock,125,85,48,94,75,,,classic rock;psychedelic rock;dance;fast;groocy;retro;oldies,5ZBeML7Lf3FMEVviTyvi8l
Umbrella,Rihanna,2007,Pop,168,23,51,47,40,,,;groovy;dance;alternative;love,0Am4hsFXTqFeX1thMW6xAY
Under The Bridge,Red Hot Chili Peppers,1991,Alternative,85,35,56,46,84,,,funk rock;alternative rock;rock;alternative;groovy;acoustic,3d9DChrdc6BOeFsbrZ3Is0
Under The Sea,Disney,1991,Soundtrack,100,47,73,83,68,WIP,,;dance;fast;groovy,6oYkwjI1TKP9D0Y9II1GT7
Until,Sting,2001,Soundtrack,99,22,50,38,0,WIP,,soft rock;love;slow;acoustic;waltz,7jreWLyOSmYumdQtttnO4g
Until I Found You,Stephen Sanchez,2022,Alternative,101,51,54,23,78,,,;slow;acoustic;alternative;love,0T5iIrXA4p5GsubkhuBIKV
Uptown Girl,Billy Joel,1983,Rock,129,94,70,79,81,,,soft rock;dance;fast;acoustic;love,5zA8vzDGqPl2AzZkEYQGKh
Valerie,Amy Winehouse ft. Mark Ronson,2007,Pop,106,83,70,89,78,,,;dance;fast;acoustic;love,6kopmMZiyLmw7h66uXcXR7
Vanilla Twilight,Owl City,2010,Pop,166,53,58,57,61,WIP,,;alternative;acoustic;groovy,0vCTQcxSGAgjHaiAsIANKn
Venus,Shocking Blue,1969,Pop,128,76,69,96,66,WIP,,nederpop;dance;fast;love;groovy;oldies;retro,0Z3xhSOhrawLV81YdiDiiJ
Viva La Vida,Coldplay,2008,Pop,138,62,49,42,86,,,;groovy;dance;fast,1mea3bSkSGXuIRvnydlB5b
Wake Me Up,Avicii,2013,House,124,78,53,64,85,WIP,,edm;dance;fast;love,0nrRP2bk19rLc0orkWPQk2
Wake Me Up When September Ends,Green Day,2005,Rock,105,81,55,15,81,WIP,,punk;pop punk;acoustic;alternative;slow,3ZffCQKLFLUvYM59XKLbVm
Watermelon Sugar,Harry Styles,2019,Pop,95,82,55,56,83,,,;dance;fast;love;groovy;acoustic,6UelLqGlWMcVH1E5c4H7lY
Way Back Into Love,Hugh Grant,2007,Pop,203,68,28,57,42,WIP,,;love;groovy;dance,7JA1UOFeaHRfQrFsqvROM5
We Are Young,fun.,2012,Pop,184,64,38,76,2,,,alternative r&b;alternative;dance;love;acoustic,30X3SaDDWZnpStNQ5C0CkE
